Name,Tags
An Essay on Design of the  Education System: S&T + Technical Training,Lab. Política Social
Swiss Federal Laboratories for Materials Science and Technology (Empa),
An Essay on Development of the Foundational Key  National Data Economy,Lab. Políticas de Crecimiento
Case Study: An Analysis of the Dominican Republic's Migrant Remittances,
Case Study: An Analysis of the Dominican Republic's Migrant Remittances,Observatorio
National Institute of Advanced Industrial Science and Technology (AIST),Observatorio
Institut National de Recherche en Informatique et en Automatique (INRIA),Observatorio
The Commonwealth Scientific and Industrial Research Organisation (CSIRO),Observatorio
An Essay On Urban Agglomeration: The Concentration of Activities in Cities,Lab. Teoría Métodos y Herramientas Arbitristas
An Essay On Using The Public Sector Agencies Budged for Innovation Promotion,
An Essay On State Investments For The Development of High Advanced Industries,
Fraunhofer Institute for Manufacturing Technology and Advanced Materials IFAM,Observatorio
Cartilla minima para razonar sobre  el desarrollo dominicano: marcos y modelos,
An Essay on the Blurring of Boundaries Between the Service Sector and Industry,Lab. Teoría Métodos y Herramientas Arbitristas
Cartilla minima para razonar sobre  el desarrollo dominicano: marcos y modelos,Observatorio
"An Essay on the Effects of Co-location on Work, Innovation, and Training Spaces",Lab. Arbitrista
Case Study: An Analysis of the Dominican Republic's Tourism and Hospitality Cluster,
Case Study: An Analysis of the Dominican Republic's Tourism and Hospitality Cluster,"Lab. Políticas de Crecimiento, Observatorio"
Case Study: Nova Indústria Brasil - Plano de Ação para a Neoindustrialização 2024-2026,Lab. Políticas de Crecimiento
Case Study: 2030 Agenda for Sustainable Development:  Neither Development Nor Sustainable,
State-owned Assets Supervision and Administration Commission of the State Council (SASAC),Observatorio
Case Study: Innovation Fund for Small and Medium Technology-based Firms (Innofund) Program,Observatorio
An Essay on the Design of a Computational Engine for Analyzing and Modeling Dominican Society,
An Essay on the Design of a Computational Engine for Analyzing and Modeling Dominican Society,Observatorio
An Essay on Councils as Fundamental Building Blocks of the Institutional Structure in the Dominican Public Sector,Lab. Teoría Métodos y Herramientas Arbitristas
